대화셋일련번호,고객의도,문장번호,고객질문(요청),개체명 ,지식베이스
A20355,주택담보대출 문의,1,"주택담보대출을 받는 사람, 즉 채무자 중에는 대출금액을 상환하지 못해 연체가 발생되는 사람도 있지 않습니까?",주택담보대출,"주택담보대출,금융상품"
A20356,주택담보대출 문의,1,MCG와 유한책임대출 혼용은 가능한가요?,MCG/유한책임대출,"유한책임대출,금융상품"
A20357,주택담보대출 문의,1,소액임대차 최우선변제권에서 방수 공제액이란 무엇인가요?,소액임대차/최우선변제권/방수공제액,"최우선변제권,제외"
A20358,주택담보대출 문의,1,디딤돌대출 조건에서 대출금리에서 우대금리 적용 기준을 알려주세요.,대출금리/우대금리/적용,"우대금리,해당"
A20359,주택담보대출 문의,1,한국주택금융공사의 더나은 보금자리론에 대해 알고 싶습니다.,한국주택금융공사/더나은보금자리론,"더나은보금자리론,금융기관"
A20360,주택담보대출 문의,1,더 나은 보금자리론의 대출한도는 어떻게 되나요?,더나은보금자리론/대출한도,"대출한도,규모"
A20361,주택담보대출 문의,1,더 나은 보금자리론의 자격 조건 중에서 소득 조건이 궁금합니다.,자격조건/소득조건,"소득조건,기준"
A20362,주택담보대출 문의,1,더 나은 보금자리론의 대출 종류는 어떻게 되나요?,더나은보금자리론/대출종류,"대출종류,금융상품"
A20363,주택담보대출 문의,1,보금자리론 체증식 분할상환을 알고 싶은데 상환방식은 몇가지나 있나요?,보금자리론/체증식분할상환/방식,"체증식분할상환,방법"
A20364,주택담보대출 문의,1,대출상환에서 체증식 분할상환의 이점을 알려주세요.,대출상환/체증식분할상환/이점,"체증식분할상환,변제"
A20365,주택담보대출 문의,1,"체증식 분할상환의 이점중에서 물가상승, 현금성 자산의 가치 하락 부분을 설명해주세요.",체증식분할상환,"체증식분할상환,변제"
A20366,주택담보대출 문의,1,저금리 주택담보대출 보금자리론 대출자격에서 MCG 모기지신용대출을 알려주세요.,저금리주택담보대출/보금자리론대출자격/MCG모기지신용대출,"보금자리론대출자격,개인자격"
A20367,주택담보대출 문의,1,저금리 주택담보대출 보금자리론 대출자격에서 유한책임대출을 알려주세요.,저금리주택담보대출보금자리론대출자격/유한책임대출,"유한책임대출,금융상품"
A20368,주택담보대출 문의,1,OO은행 주택담보대출이 100% 비대면 아파트 담보대출이라는데 정말인가요?,주택담보대출/비대면아파트담보대출,"비대면아파트담보대출,부동산"
A20369,주택담보대출 문의,1,OO은행 주택담보대출에서 아파트 담보대출이 불가한 경우는 어떤 경우인가요?,주택담보대출/아파트담보대출,"아파트담보대출,부동산"
A20370,주택담보대출 문의,1,OO은행 주택담보대출에서 신청 가능한 대출 상품에서 신규생활자금은 얼마까지 대출이 되나요?,주택담보대출/신규생활자금대출,"신규생활자금대출,금융상품"
A20371,주택담보대출 문의,1,OO은행 주택담보대출 중에서 가계담보대출은 언제까지 신청가능할까요?,주택담보대출/가계담보대출,"가계담보대출,금융상품"
A20372,주택담보대출 문의,1,주택도시기금 대출의 버팀목 전세대출을 알고 싶은데요. 무소득자도 신청가능 하다는데 맞나요?,주택도시기금대출/버팀목전세대출,"버팀목전세대출,금융상품"
A20373,주택담보대출 문의,1,버팀목 전세대출의 담보별 보증한도가 궁금합니다.,보증한도,"보증한도,규모"
A20374,주택담보대출 문의,1,연소득이 4천만원 이하이고 임차 보증금이 1억원 이하의 경우는 대출금리가 어떻게 되나요?,대출금리,"대출금리,이자"
A20375,주택담보대출 문의,1,버팀목 전세대출의 소득조건이 궁금합니다.,버팀목전세대출/소득조건,"소득조건,기준"
A20376,주택담보대출 문의,1,준주택 종류는 무엇인가요?,준주택/종류,"종류,자산"
A20377,주택담보대출 문의,1,버팀목 전세대출 자격 조건에서 임차 보증금은 어떻게 되나요?,버팀목전세대출/자격조건/임차보증금,"자격조건,금융상품"
A20378,주택담보대출 문의,1,캐피탈사 아파트 담보대출 비교하기 정말 번거롭습니다.,캐피탈사/아파트담보대출/비교,"아파트담보대출,금융상품"
A20379,아파트담보대출 문의,1,그럼 신용 평가의 요인은 무엇인가요?,신용평가,"신용평가,개인등급"
A20380,아파트담보대출 문의,1,OOO캐피탈 아파트 담보대출에 대해 설명이 필요합니다.,아파트/담보대출,"담보대출,보증"
A20381,아파트담보대출 문의,1,OOO캐피탈 아파트 담보대출을 알려주세요.,아파트/담보대출,"담보대출,보증"
A20382,아파트담보대출 문의,1,현대캐피탈 담보대출 중에서 사업자금대출을 알려주세요.,사업자금대출,"사업자금대출,금융상품"
A20383,아파트담보대출 문의,1,OOO캐피탈 아파트 담보대출의 대출대상을 알려주세요.,아파트/담보대출,"담보대출,보증"
A20384,아파트담보대출 문의,1,OOO캐피탈 아파트 보유자 무설정 신용대출에서 대출한도는 얼마인가요?,무설정신용대출,"무설정신용대출,금융상품"
A20385,아파트담보대출 문의,1,OO은행캐피탈 부동산 소유자 신용대출의 대출한도은 어떻게 되나요?,신용대출/대출한도,"대출한도,규모"
A20386,아파트담보대출 문의,1,OOO캐피탈 아파트 보유자 우대금리 신용대출의 장점이 무엇일까요?,신용대출,"신용대출,개인자격"
A20387,아파트담보대출 문의,1,OOO캐피탈 아파트 소유자 신용대출을 위한 대출금리는 어떻게 되나요?,대출금리,"대출금리,이자"
A20388,아파트담보대출 문의,1,OOO캐피탈 아파트 담보대출의 대출금리는 어떻게 되나요?,담보대출,"담보대출,금융상품"
A20389,아파트담보대출 문의,1,OOO캐피탈 아파트 보유자 신용대출의 상품 설명을 부탁합니다.,신용대출,"신용대출,개인등급"
A20390,소액신용대출 문의,1,주말에 대출이 가능할까요? ,주말/대출,"대출,금융상품"
A20391,직장인신용대출 문의,1,주말 소액대출로 소액을 빌린다고 해도 이자가 높기 때문에 금방 부담이 되기 때문에 빠르게 갚는게 좋겠죠?,소액대출,"소액대출,금융상품"
A20392,직장인신용대출 문의,1,일반적인 직장인 대출 상품의 직장인 재직기간은 1년 이상 아닌가요?,대출,"대출,금융상품"
A20393,직장인신용대출 문의,1,OO은행 이지페이론 중도상환수수료는 어떻게 되나요?,중도상환수수료,"중도상환수수료,비용"
A20538,보험 약관 대출,1,가입한 보험으로도 대출이 가능한가요?,"가입,보험,대출,가능","보험,계약"
A20539,보험 약관 대출,1,가입한 보험으로도 대출이 가능한가요?,"가입,보험,대출,가능","보험,계약"
A20540,보험 약관 대출,1,제가 가입한 보험으로도 대출이 가능한가요?,"가입,보험,대출,가능","보험,대출-금융상품"
A28069,대출한도,1,아무런 조건없이 신용대출 받을 수 있을까요?,"신용, 대출","대출,금융상품"
A28074,대출금리,1,"저기, 있잖아요, 대출금리를 인하받고 싶은데 가능합니까?","대출, 금리","금리,이자"
A28082,학자금대출,1,지금 대학교 학자금 대출이 가능한가요?,"학자금, 대출","대출,금융상품"
A28091,대출서비스,1,약관대출 문의 합니다,"약관대출,문의","문의,보험대출"
A28123,보험약관대출,1,보험약관 대출은 얼마나 받을 수 있나요?,"보험,약관,대출","약관,계약"
A28134,전세자금대출,1,"전세자금 대출 받고싶은데요, 최저금리가 얼마인가요? ","전세자금대출,최저금리",최저금리
A28143,신용대출,1,신용대출은 어떻게 받나요?,"신용,대출",대출
A28153,전화대출상담,1,"전화 대출 받을려고 하는데, 제 명의 통장이 있어야하나요?","전화대출, 명의통장","명의통장,ARS"
A28154,담보대출상담,1,집을 담보로 대출 받고 싶은데 몇 %까지 받을 수 있나요?,"집, 담보, 대출","담보,거주지"
A28156,약관대출,1,보험계약대출 받고 싶은데 얼마까지 받을 수 있죠?,보험계약대출,"보험계약대출,금액"
A28157,약관대출,1,약관대출을 받을려니 예전보다 받을 수 있는 금액이 너무 낮네요.. 왜 이런가요?,"약관대출, 금액",금액
A28158,약관대출,1,"약관대출을 받고 싶은데, 언제든 가능한가요?","약관대출, 가능",가능
A28164,담보대출상담,1,대출을 받아서 단독주택을 짓고 싶은데 가능할까요?,"대출, 단독주택","단독주택,거주지"
A28165,대출심사,1,신용대출 심사 받는게 많이 까다롭나요?,"신용대출, 심사",심사
A28166,전세대출상담,1,대출문의 가능한가요?,"대출문의, 가능","가능,질의"
A28167,비대면대출문의,1,대출 신청할 때 본인이 직접가야하나요?,"대출, 신청, 본인","신청,요청"
A28168,담보추가대출,1,"3년전에 아파트 담보대출을 이곳에서 받았는데, 혹시 추가대출 가능한가요?","3년, 아파트, 담보대출, 추가대출","아파트,거주지"
A28169,대출상담,1,"대출받을려고 하는데, 금리가 가장 저렴한 곳이 어디인가요?","대출, 금리",금리
A28182,단기대출,1,1억을 단기로 대출 받을 수 있나요?,"1억, 단기, 대출","단기,금액"
A28189,중소기업청년전세대출,1,"중소기업청년전세대출이라는게 있던데, 저도 될까요?",중소기업청년전세대출,중소기업청년전세대출
A28194,대출금리인하,1,"담보대출 금리를 좀 낮추고 싶은데, 가능할까요?","담보대출, 금리, 가능",금리
A28199,학자금대출,1,"요번에 야간대 들어가면서 학자금 대출을 받고 싶은데, 될까요?","야간대, 학자금, 대출","학자금,금액"
A28200,신용대출신청,1,교보바로받는 신용대출에 대한 광고를 봤습니다. 정말 바로 받을 수 있나요?,"교보, 신용대출, 광고",신용대출
A28203,대출상담,1,"적금이 들어간게 있는데, 이걸로 대출이 되나요?","적금, 대출",대출
A28207,학자금대출상환,1,학자금 대출 문의를 드리고 싶습니다.,"학자금대출, 문의","문의,질의"
A28211,대학생학자금대출,1,대학신입생인데 학자금대출을 받을려면 어디에 문의하면 될까요?,"대학신입생,학자금대출, 문의","학자금대출,질의"
A28215,주택담보대출,1,안녕하세요 주택구입시 담보대출이 가능할까요?,"주택구입, 담보대출","담보대출,내집장만"
A28216,대출문의,1,직장인 대출이 가능할까요?,"직장인, 대출","대출,회사원"
A28217,전세자금대출,1,전세자금대출이 될까요?,전세자금대출,전세자금대출
A28225,신용대출조건,1,신용대출을 받고 싶은데 나이제한이 있나요?,"신용대출, 나이, 제한","나이,제약"
A28234,학자금대출,1,학자금 대출을 받고 싶은데 어떻게 하면 될까요?,"학자금, 대출","대출,학비"
A28237,아파트담보대출,1,아파트 담보대출 신청이 가능할까요?,"아파트, 담보, 대출","담보,거주지"
A28250,신용대출 문의,1,신용대출 문의드립니다. 대출을 받을 수 있는 나이는 어떻게 되나요.,"신용대출, 나이, 살, 이상","나이,한도"
A28258,보험계약대출,1,보험계약 대출 받으려 합니다.,"보험, 계약, 대출",계약
A28259,전세자금대출,1,전세자금 대출 받을려고 합니다. 최저금리도 알고싶습니다.,"전세자금대출, 최저금리",최저금리
A28260,신용대출조건,1,신용대출 문의드립니다.,"신용대출, 문의","문의,질의"
A28269,전세자금대출,1,전세자금 대출 받고 싶은데 요즘 금리가 몇프로에요?,"전세자금대출, 금리",금리
A28270,부동산담보대출,1,대출 받고 싶은데 가능한가요?,"대출, 가능",가능
A28271,신용대출조건,1,신용대출은 어떻게 받을 수 있나요?,신용대출,신용대출
A28357,이체,1,대출금 이체 문의 드립니다,"대출금,이체,문의","이체,질의"
A28370,이체,1,대출금 자동이체 문의 드립니다,"대출금,자동이체","자동이체,송금"
A28386,대출,1,대출 신청하려는데 준비서류가 어떻게 되죠?,"대출, 준비, 서류","준비,자료"
A28395,대출문의,1,전세자금 대출이 대상이 어떻게 되는지 알수있나요?,"전세자금, 대출, 대상","대출,돈"
A28401,보험계약대출,1,안녕하세요?보험계약대출좀 받고 싶은데요?,보험계약대출,"보험계약대출,대출"
A28402,담보대출,1,안녕하세요? 혹시 여기서도 담보대출 되나요?,담보대출,"담보대출,대출"
A28403,계약대출,1,제가 보험계약대출을 받았는데요 통장에 잔액 없어서 가상계좌를 안내 받았습니다. 오늘입금 안하면 계좌가 없어지나요?,"보험계약대출, 잔액, 계좌, 입금","잔액,잔고"
A28419,대출서비스,1,대출 이자 납부 관련해서 여쭤보겠습니다,"대출, 이자, 납부, 문의","이자,질문"
A28431,대출서비스,1,신용대출을 인터넷으로 신청 할 수 있나요?,"신용대출, 인터넷, 신청","인터넷,청구"
A28631,대출금리,1,대출금리 인하받을 수 있나요?,"대울금리,인하","인하,이율"
A28632,대출,1,대출 받고 싶은데 가능할까요?,대출,대출
A28634,대출,1,외국인도 대출이 되나요?,"외국인,대출",대출
A28640,보험대출,1,보험계약대출 상환방법 알려주세요?,"보험계약대출, 상환, 방법","상환,방도"
A28641,보험대출,1,보험 대출상품의 종류에는 무엇이 있나요?,"보험,대출상품","대출상품,제품"
A28642,보험대출,1,신용불량자도 보험계약대출이 가능한가요?,"신용불량자,보험계약대출","보험계약대출,대출"
A28643,보험대출,1,부동산담보대출은 뭔가요?,부동산담보대출,"부동산담보대출,대출"
A28653,대출,1,중소기업에 다니고 있는데 전세대출 가능할까요?,"중소기업,전세대출","전세대출,기관"
A28775,이체출금대출서비스,1,이체관련 문의가 있습니다.,"문의, 이체","이체,입금"
A28776,이체출금대출서비스,1,마통 문의 있습니다.,문의,"문의,질의"
A28777,이체출금대출서비스,1,마이너스 통장 개설하고 싶습니다.,"통장, 개설, 마이너스","개설,대출상품"
A28778,이체출금대출서비스,1,이체한도 문의가 있습니다,"문의, 한도, 이체","한도,입금"
A28779,이체출금대출서비스,1,이체내역 취소 가능한가요?,"이체, 내역, 취소, 가능","내역,불가능"
A28780,이체출금대출서비스,1,신용대출에 나이제한 있나요?,"제한, 대출, 신용대출","대출,서비스"
A28781,이체출금대출서비스,1,이체 관련 문의가 있는데요?,"문의, 이체","이체,입금"
A28782,이체출금대출서비스,1,이체 내역에 계좌번호가 안보여요,"계좌, 이체, 내역, 계좌번호","이체,계좌"
A28783,이체출금대출서비스,1,인터넷뱅킹의 이체한도문의가 있어요,"문의, 한도, 인터넷뱅킹, 이체","한도,입금"
A28784,이체출금대출서비스,1,학자금 대출을 받을 수 있나요?,대출,"대출,서비스"
A28785,이체출금대출서비스,1,지금 학자금 대출 받고 있는데 추가로 생활비도 받을 수 있나요?,"대출, 지금","지금,시점"
A28786,이체출금대출서비스,1,과거에 송금했던 계좌번호를 알 수 있을까요? ,"과거, 계좌, 계좌번호, 송금","계좌,입금"
A28787,이체출금대출서비스,1,공인인증서 신규발급시 타기관인증서 사용등록이 나오는데 어떻게 해야하나요?,"공인인증서, 사용, 발급, 타기관, 등록","사용,입력"
A28788,이체출금대출서비스,1,인터넷 뱅킹에서 사용할 수 있는 비밀번호 방식이 뭐뭐있나요?,"뱅킹, 비밀번호, 인터넷, 사용","비밀번호,이용"
A28789,이체출금대출서비스,1,ATM에서 수표 입금해서 현금으로 출금할 수 있나요?,"입금, 출금, ATM, 수표, 현금","출금,돈"
A28790,이체출금대출서비스,1,퇴직급여 이체에 대해 알려줄 수 있나요?,"급여, 이체, 퇴직","이체,퇴사"
A28791,이체출금대출서비스,1,자동이체 해지 방법을 알고싶습니다.,"방법, 이체, 자동이체, 해지","이체,해약"
A28792,이체출금대출서비스,1,자동이체 변경 가능한가요?,"이체, 자동이체, 변경, 가능","자동이체,불가능"
A28793,이체출금대출서비스,1,수수료 혜택 받는 방법 있나요?,"방법, 수수료, 혜택","수수료,이익"
A28794,이체출금대출서비스,1,자주사용 이체 등록 어떻게 하나요?,"이체, 사용, 등록","사용,입력"
A28795,이체출금대출서비스,1,특정 이체건에 대해 간편 등록 같은 기능이 있을까요?,"기능, 이체, 등록","이체,입력"
A28796,이체출금대출서비스,1,이체가 안됩니다. 원인이 뭐죠?,이체,"이체,입금"
A28797,이체출금대출서비스,1,이체한도 걸려있나요?,"한도, 이체","이체,입금"
A28798,이체출금대출서비스,1,공과금도 이체 등록 할 수 있나요?,"이체, 공과금, 등록","공과금,입력"
A28799,이체출금대출서비스,1,ATM 기기로 이체 가능한가요?,"이체, 가능, ATM","가능,납부기기"
A28800,이체출금대출서비스,1,모바일뱅킹에서 이체하는 방법 알려주세요,"방법, 뱅킹, 모바일, 이체","뱅킹,입금"
A28801,이체출금대출서비스,1,이체한 금액 취소 가능한가요? 액수를 잘못 입력했어요,"이체, 취소, 입력, 가능","취소,불가능"
A28802,이체출금대출서비스,1,계좌이체가 안됩니다. 모바일에서요,"계좌, 모바일, 이체","모바일,입금"
A28803,이체출금대출서비스,1,아파트 관리비를 납부 인터넷뱅킹으로 되나요?,"아파트, 인터넷뱅킹, 납부","인터넷뱅킹,납입"
A28804,이체출금대출서비스,1,인터넷 뱅킹 이체에 질문 있어요,"질문, 뱅킹, 이체, 인터넷","뱅킹,온라인"
A28805,이체출금대출서비스,1,이체확인 영수증 출력 가능합니까?,"이체, 확인, 가능, 영수증","확인,서류"
A28806,이체출금대출서비스,1,인터넷뱅킹 이체한도를 확인하고 싶습니다.,"한도, 인터넷뱅킹, 이체, 확인","인터넷뱅킹,검토"
A28807,이체출금대출서비스,1,카드 없이 돈을 출금하는 방법 있나요?,"방법, 출금, 카드","출금,결제수단"
A28808,이체출금대출서비스,1,건강보험료를 매달 알아서 빠져나가게 할 수 있나요?,건강보험료,"건강보험료,납부료"
A28809,이체출금대출서비스,1,"돈을 입금했는데, 계좌번호 조회가 가능한가요?","입금, 계좌, 조회, 계좌번호, 가능","계좌,불가능"
A28810,이체출금대출서비스,1,핸드폰으로 입금 하고싶습니다.,"입금, 핸드폰","핸드폰,통신수단"
A28811,이체출금대출서비스,1,이체 수수료를 면제 가능한가요?,"이체, 수수료, 면제, 가능","수수료,불가능"
A28812,이체출금대출서비스,1,입출금 내역 문자 서비스 이용 가능한가요?,"문자, 이용, 내역, 출금, 가능, 서비스","이용,상품"
A28813,이체출금대출서비스,1,국민연금을 자동 납부할 수 있나요?,"납부, 자동","자동,수동"
A29264,이체출금대출서비스,1,이체관련 문의가 있습니다.,"문의, 이체","이체,입금"
A29265,이체출금대출서비스,1,마통 문의 있습니다.,문의,"문의,질의"
A29266,이체출금대출서비스,1,마이너스 통장 개설하고 싶습니다.,"통장, 개설, 마이너스","개설,대출상품"
A29267,이체출금대출서비스,1,이체한도 문의가 있습니다,"문의, 한도, 이체","한도,입금"
A29268,이체출금대출서비스,1,이체내역 취소 가능한가요?,"이체, 내역, 취소, 가능","내역,불가능"
A29269,이체출금대출서비스,1,신용대출에 나이제한 있나요?,"제한, 대출, 신용대출","대출,서비스"
A29270,이체출금대출서비스,1,이체 관련 문의가 있는데요?,"문의, 이체","이체,입금"
A29271,이체출금대출서비스,1,이체 내역에 계좌번호가 안보여요,"계좌, 이체, 내역, 계좌번호","이체,계좌"
A29272,이체출금대출서비스,1,인터넷뱅킹의 이체한도문의가 있어요,"문의, 한도, 인터넷뱅킹, 이체","한도,입금"
A29273,이체출금대출서비스,1,학자금 대출을 받을 수 있나요?,대출,"대출,서비스"
A29274,이체출금대출서비스,1,지금 학자금 대출 받고 있는데 추가로 생활비도 받을 수 있나요?,"대출, 지금","지금,시점"
A29275,이체출금대출서비스,1,과거에 송금했던 계좌번호를 알 수 있을까요? ,"과거, 계좌, 계좌번호, 송금","계좌,입금"
A29276,이체출금대출서비스,1,공인인증서 신규발급시 타기관인증서 사용등록이 나오는데 어떻게 해야하나요?,"공인인증서, 사용, 발급, 타기관, 등록","사용,입력"
A29277,이체출금대출서비스,1,인터넷 뱅킹에서 사용할 수 있는 비밀번호 방식이 뭐뭐있나요?,"뱅킹, 비밀번호, 인터넷, 사용","비밀번호,이용"
A29278,이체출금대출서비스,1,ATM에서 수표 입금해서 현금으로 출금할 수 있나요?,"입금, 출금, ATM, 수표, 현금","출금,돈"
A29279,이체출금대출서비스,1,퇴직급여 이체에 대해 알려줄 수 있나요?,"급여, 이체, 퇴직","이체,퇴사"
A29280,이체출금대출서비스,1,자동이체 해지 방법을 알고싶습니다.,"방법, 이체, 자동이체, 해지","이체,해약"
A29281,이체출금대출서비스,1,자동이체 변경 가능한가요?,"이체, 자동이체, 변경, 가능","자동이체,불가능"
A29282,이체출금대출서비스,1,수수료 혜택 받는 방법 있나요?,"방법, 수수료, 혜택","수수료,이익"
A29283,이체출금대출서비스,1,자주사용 이체 등록 어떻게 하나요?,"이체, 사용, 등록","사용,입력"
A29284,이체출금대출서비스,1,특정 이체건에 대해 간편 등록 같은 기능이 있을까요?,"기능, 이체, 등록","이체,입력"
A29285,이체출금대출서비스,1,이체가 안됩니다. 원인이 뭐죠?,이체,"이체,입금"
A29286,이체출금대출서비스,1,이체한도 걸려있나요?,"한도, 이체","이체,입금"
A29287,이체출금대출서비스,1,공과금도 이체 등록 할 수 있나요?,"이체, 공과금, 등록","공과금,입력"
A29288,이체출금대출서비스,1,ATM 기기로 이체 가능한가요?,"이체, 가능, ATM","가능,납부기기"
A29289,이체출금대출서비스,1,모바일뱅킹에서 이체하는 방법 알려주세요,"방법, 뱅킹, 모바일, 이체","뱅킹,입금"
A29290,이체출금대출서비스,1,이체한 금액 취소 가능한가요? 액수를 잘못 입력했어요,"이체, 취소, 입력, 가능","취소,불가능"
A29291,이체출금대출서비스,1,계좌이체가 안됩니다. 모바일에서요,"계좌, 모바일, 이체","모바일,입금"
A29292,이체출금대출서비스,1,아파트 관리비를 납부 인터넷뱅킹으로 되나요?,"아파트, 인터넷뱅킹, 납부","인터넷뱅킹,납입"
A29293,이체출금대출서비스,1,인터넷 뱅킹 이체에 질문 있어요,"질문, 뱅킹, 이체, 인터넷","뱅킹,온라인"
A29294,이체출금대출서비스,1,이체확인 영수증 출력 가능합니까?,"이체, 확인, 가능, 영수증","확인,서류"
A29295,이체출금대출서비스,1,인터넷뱅킹 이체한도를 확인하고 싶습니다.,"한도, 인터넷뱅킹, 이체, 확인","인터넷뱅킹,검토"
A29296,이체출금대출서비스,1,카드 없이 돈을 출금하는 방법 있나요?,"방법, 출금, 카드","출금,결제수단"
A29297,이체출금대출서비스,1,건강보험료를 매달 알아서 빠져나가게 할 수 있나요?,건강보험료,"건강보험료,납부료"
A29298,이체출금대출서비스,1,"돈을 입금했는데, 계좌번호 조회가 가능한가요?","입금, 계좌, 조회, 계좌번호, 가능","계좌,불가능"
A29299,이체출금대출서비스,1,핸드폰으로 입금 하고싶습니다.,"입금, 핸드폰","핸드폰,통신수단"
A29300,이체출금대출서비스,1,이체 수수료를 면제 가능한가요?,"이체, 수수료, 면제, 가능","수수료,불가능"
A29301,이체출금대출서비스,1,입출금 내역 문자 서비스 이용 가능한가요?,"문자, 이용, 내역, 출금, 가능, 서비스","이용,상품"
A29302,이체출금대출서비스,1,국민연금을 자동 납부할 수 있나요?,"납부, 자동","자동,수동"
A29750,계약조회,1,홈페이지에서 대출내역 확인할 수 있죠?,홈페이지/대출내역/확인,"대출내역,체크"
A29782,보험대출,1,제가 보험 대출을 신청했는데 왜 이틀이 지나서 대출금이 지급되나요? 다른 사람들은 바로 그날에 대출이 된다고 그러던데?,보험대출/신청/이틀/대출금/지급/그날,"신청,접수"
A29783,대출이자,1,대출 신청할 때 이자를 제하고 대출금 주던데 왜그런거에요?,대출/신청/이자/대출금,"신청,금액"
A29808,계약조회,1,신용대출을 받을 수 있나요?,신용대출,"신용대출,대출"
A29831,인터넷뱅킹,1,저 B2B채권등록 후 대출을 하려고 하는데 우선 채권등록을 해야한다던데 채권 등록 방법이 어떻게 되나요?,B2B채권등록/대출/채권등록/방법,"대출,수단"
A29832,인터넷뱅킹,1,B2B채권을 이용하여 대출을 받을 수 있죠?,B2B채권/대출/이용,"대출,사용"
A29883,보험담보대출,1,저 있잖아요. 보험담보대출 내역을 봤는데 이자는 어떻게 산출되는 거에요?,보험담보대출/내역/이자/산출,"내역,계산"
A29941,신용대출,1,저 신용대출을 받고 싶은데 가능하나요?,신용대출/가능,"가능,대출"
A29942,신용대출,1,저 신용대출 만기가 다 됐거든요. 혹시 연장할 수 있나요?,신용대출/만기/연장,"만기,만료"
A29943,연말정산소득공제서류,1,저 대출금으로 연말정산 신청할 수 있죠?,대출금/연말정산/신청,"연말정산,접수"
A29944,대출금상환,1,저 있잖아요. 대출금을 상환하고 전액상환영수증을 출력할 수 있나요?,대출금/상환/전액상환영수증/출력,"상환,금액"
A29945,전세자금대출,1,저 전세자금대출을 받을 수 있나요?,전세자금대출,"전세자금대출,대출"
A29946,신용대출,1,저 대출을 좀 받고 싶은데 어떻게 하면 되나요?,대출,대출
A29947,신용대출,1,OO비상금대출이 뭔가요?,OO비상금대출,"OO비상금대출,대출"
A29948,신용대출,1,저 대출을 연장할 수 있나요?,대출/연장,연장
A29949,대출금상환,1,대출금을 상환하려고 했는데 자꾸 오류가 나네요.,대출금/상환/오류,"상환,에러"
A29950,주택대출자금상환증명서,1,저 주택대출자금상환증명서 메뉴에서 대출계좌가 안 뜨는데 왜 이런 거에요?,주택대출자금상환증명서/메뉴/대출계좌,"메뉴,서류"
A29951,B2B대출,1,B2B대출을 신청하려고 하는데 B2B대출의 특징이 뭔가요?,B2B대출/신청/특징,"신청,접수"
A29952,B2B대출,1,B2B업체등록을 할 수 있죠?,B2B업체등록,"B2B업체등록,가입"
A29953,대출금상환,1,저 있잖아요. 대출금 영수증을 출력하려고 하는데 오류가 생기는데 왜 이런거에요?,대출금/영수증/출력/오류,"영수증,에러"
A29954,예금담보대출,1,저 예금담보로 대출을 받았는데 예금이 만기가 됐거든요. 어떻게 해야 하나요?,예금담보/대출/예금/만기,"대출,만료"
A29955,잔세자금대출,1,저기요. 전세자금대출을 문의하려고 하는데요. 전세자금대출을 지금 살고 있는 전세계약으로 대출을 할 수 있나요?,전세자금대출/문의/전세계약/대출,"문의,질문"
A29957,예금담보대출,1,펀드를 담보로 예금담보대출을 받았는데 해지하려고 하는데 해지 가능하죠?,펀드/담보/예금담보대출/해지/가능,"담보,해약"
A29958,예금담보대출,1,저 펀드를 담보로 예금담보대출을 받을 수 있나요?,펀드/담보/예금담보대출,"담보,대출"
A29959,우량직장인대출,1,우량직장인 대출이 뭔가요?,우량직장인/대출,대출
A29960,우량직장인대출,1,우량직장인 대출을  신청하려고 하는데 자꾸 오류가 뜨네요. 왜 이런 거에요?,우량직장인/대출/신청/오류,"대출,에러"
A29971,예금담보대출,1,저기요. 예금담보로 대출을 받을 수 있죠?,예금담보/대출,대출
A29972,대출금상환,1,저 대출금을 중도상환하려고 하는데 가능한가요?,대출금/중도상환/가능,"중도상환,금액"
A30045,대학생학자금대출,1,대학신입생인데 학자금대출을 받을려면 어디에 문의하면 될까요?,"신입생,학자금대출","학자금대출,대출"
A30049,주택담보대출,1,안녕하세요 주택구입시 담보대출이 가능할까요?,"주택, 구입, 담보대출","구입,대출"
A30050,대출문의,1,직장인 대출이 가능할까요?,"직장인,대출,가능","대출,실현"
A30051,전세자금대출,1,전세자금대출이 될까요?,전세자금대출,"전세자금대출,대출"
A30059,신용대출조건,1,신용대출을 받고 싶은데 나이제한이 있나요?,"신용,대출,나이,제한","대출,한계"
A30068,학자금대출,1,학자금 대출을 받고 싶은데 어떻게 하면 될까요?,"학자금,대출","대출,빌림"
A30071,아파트담보대출,1,아파트 담보대출 신청이 가능할까요?,"아파트,담보,대출,신청","담보,요청"
A30084,신용대출 문의,1,신용대출 문의드립니다. 대출을 받을 수 있는 나이는 어떻게 되나요.,"신용대출, 문의, 나이, 살, 이상","문의,한도"
A30092,보험계약대출,1,보험계약 대출 받으려 합니다.,보험/계약/대출,"계약,빌림"
A30093,전세자금대출,1,전세자금 대출 받을려고 합니다. 최저금리도 알고싶습니다.,"전세자금대출, 최저금리","최저금리,대출"
A30094,신용대출조건,1,신용대출 문의드립니다.,"신용대출, 문의","문의,질문"
A30102,약관대출,1, 보험 약관대출은 어떻게 받을수 있나요?,"보험,약관대출","약관대출,금융상품"
A30126,아파트담보대출,1,아파트를 담보로 대출 받을수 있을까요,"아파트, 담보, 대출","담보,빌림"
A30129,전세자금대출,1,안녕하세요. 전세를 들어가려고 알아보고 있습니다.,전세,"전세,월세"
A30130,청년전용버팀목전세대출,1,청년전용버팀목 전세대출이 뭔가요.,"청년전용버팀목, 전세대출","전세대출,대출"
